Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,prop.s2,prop.s3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.420091929899,3.5634163300072674,1.5633631410674655,5.2596835528666,0.7005355583943117,35,13.903044138865727,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,2.2963596496041094,3.807804465455776,1.7406593944228306,4.092720629092929,1.410900275112574,36,12.30601328400041,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.8868285851529515,3.2838787514944796,2.1959334696824966,4.58181469306551,1.4311451831636053,37,9.259874744455939,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.9870057554921798,3.1943529642446276,2.2965253358372086,4.561837106811037,1.5831446023712392,38,9.086808975145013,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,1.0484624868861725,3.1638091623777824,2.28232298081994,4.554183239674553,1.580295404546115,39,9.007220130947443,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,1.097965556322804,3.1854080880433155,2.258780689824498,4.54894440745785,1.615440286129756,40,8.982829640250758,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.7203224866686349,2.9183771830296332,2.3654772145309795,4.751679742398974,1.7395612691554092,41,8.344205810351859,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.729626001960397,2.876863098281462,2.2967163184667343,4.738792705349804,1.764227510564068,42,7.956096383375755,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.75487360079784,2.8602036244713687,2.1603663138422733,4.736077788539017,1.7570608255469546,43,7.9059003527413125,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.49813937707978834,2.569409289992493,2.0317148511804852,4.783114829352218,1.7836112074042412,44,7.322069062064167,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.648547474430144,2.671155276092291,2.0500676836488427,4.791819880576973,1.8064672083591002,45,7.289548214528221,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.7148726208432007,2.696460097451068,2.0904021821202026,4.834377668791724,1.8682661015698343,46,7.2739312622494765,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.6092262816438503,2.795964370586348,2.216136209646318,4.7599148636547675,1.8381514034042814,47,6.9412755605811975,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.6318364351529182,2.7978902334494604,2.2063199354599528,4.756629385297996,1.8386670099863396,48,6.940752204493798,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
36,100,300,0.7,3,close,5,4,4,4,4,4,20,0.799,0.806,0.5693219346307309,2.7999533022464465,2.2034606000431887,4.694059362865856,1.8458114325747943,49,6.932825844609987,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
