number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
1,100,50,0.3,1,close,5,4,4,4,4,4,20,30,1,0.466056451967943,0.52017440642354,0.543757240183965,0.558160830676897,0.544070971873724,1.86643973483455,1.90041496290349,2.1636959299191,2.21298853686617,2.30232723788589,81.9657704524238
1,100,50,0.3,1,close,5,4,4,4,4,4,20,31,1,0.49758824826151,0.464648621882058,0.496030823572003,0.465445959167088,0.51024166813103,1.95556858138742,1.61254185841613,1.77024839576786,1.64876119556094,1.82954441014063,66.559911572088
1,100,50,0.3,1,close,5,4,4,4,4,4,20,32,1,0.452142729727358,0.417398110816583,0.433004832297072,0.462288877860417,0.471438394954793,1.68598228961361,1.31455475553098,1.38111619307997,1.65580490410336,1.74609337141294,53.4212388766596
1,100,50,0.3,1,close,5,4,4,4,4,4,20,33,1,0.418009671727035,0.423951228256095,0.422923518191203,0.389658449970472,0.417900371717879,1.30892648839882,1.36131125549291,1.39965787894286,1.13112009313467,1.49961541078571,43.1265074912887
1,100,50,0.3,1,close,5,4,4,4,4,4,20,34,1,0.392365733847766,0.38368344664722,0.384581986018685,0.33111689560116,0.377887241813741,1.15362910660847,1.15933353240559,1.16693784647046,0.891305644981038,1.18700224777911,35.652940112099
1,100,50,0.3,1,close,5,4,4,4,4,4,20,35,1,0.353191633742419,0.323130869921177,0.339939495486063,0.295786800368719,0.345786383643035,0.927079989791062,0.873687293452797,0.936813181885541,0.709847539793075,0.939284643631436,29.7563493199251
1,100,50,0.3,1,close,5,4,4,4,4,4,20,36,1,0.312178362718587,0.313025556992644,0.311401665939042,0.286098456577355,0.30387218273314,0.754938577657667,0.809927096689062,0.783357680023089,0.652363218882424,0.738335405069175,24.575719453542
1,100,50,0.3,1,close,5,4,4,4,4,4,20,37,1,0.264202141357276,0.285712564655687,0.29221740742883,0.240495261198437,0.280344587420901,0.604539633147267,0.679628320403102,0.686360014328362,0.509044911371473,0.621306748116101,20.2564368178754
1,100,50,0.3,1,close,5,4,4,4,4,4,20,38,1,0.240428241746816,0.269885270204254,0.283510040948733,0.244868544972921,0.254657076900711,0.484072576900423,0.579570551393084,0.648877826128833,0.459318489587493,0.50193871362995,16.5793125840998
1,100,50,0.3,1,close,5,4,4,4,4,4,20,39,1,0.205839369316363,0.260390520585176,0.257499018850752,0.216536348091117,0.217666120571084,0.387296374758094,0.578210892103235,0.471318086210477,0.393601395469262,0.3792141161203,13.4882723598893
1,100,50,0.3,1,close,5,4,4,4,4,4,20,40,1,0.196841752602312,0.237282411325401,0.232044515736404,0.204965187249173,0.208411508913919,0.343505366449324,0.464480567533774,0.384985594012058,0.351005240606339,0.331039742413297,10.8288806152012
