number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
12,100,300,0.7,1,close,5,4,4,4,4,4,20,20,5,1.2741474057598,0.920238042820752,1.08588696843907,0.980250998381324,1.13589974501886,6.03536945281123,4.80516588050839,5.69172432613481,4.85970560029055,5.36185682370645,72.831669793248
12,100,300,0.7,1,close,5,4,4,4,4,4,20,21,5,1.15511800428687,0.849747845363885,1.0232624740734,0.934546849317757,1.07697612339698,5.6219016039761,4.47371176404899,5.58459795236503,4.70361623594168,5.38893846068873,65.5466190526479
12,100,300,0.7,1,close,5,4,4,4,4,4,20,22,5,1.03045666083354,0.78938560702585,0.939691241973553,0.876506030438556,1.03993233317516,5.20975623876613,4.00354901673608,5.0630825864067,4.34649255461641,5.4298071657774,59.6721114862092
12,100,300,0.7,1,close,5,4,4,4,4,4,20,23,5,0.960436875948658,0.747939299920899,0.847565598262808,0.843106252203613,0.920060669166176,4.68949965179466,3.62517928904986,4.31548355278927,3.9544040494727,4.78905306345221,53.7871140784987
12,100,300,0.7,1,close,5,4,4,4,4,4,20,24,5,0.929350372171211,0.67514441775177,0.816836816214128,0.787511016175138,0.867797836822624,4.42231663742864,3.14551909291604,3.99057096956545,3.73939609023518,4.43329719046262,48.9726748955264
12,100,300,0.7,1,close,5,4,4,4,4,4,20,25,5,0.856480772897851,0.644773644782588,0.755042740486622,0.75531603717012,0.830445274594498,4.41972161564626,2.63989650332778,3.52258656563449,3.80562544199192,4.32889187100123,44.4126727108048
12,100,300,0.7,1,close,5,4,4,4,4,4,20,26,5,0.764242027155585,0.58411794182942,0.737955616893161,0.708242267453343,0.81263887170302,3.01249085339759,2.44695503886619,3.01670774912079,3.26168305388047,4.49031303896996,40.3247147930054
12,100,300,0.7,1,close,5,4,4,4,4,4,20,27,5,0.73439915920906,0.540745580588627,0.701067071902712,0.645320968265477,0.770477934123545,2.43951592034237,2.43847736190443,2.60571968747797,2.96606688630934,3.92517972233555,36.0916720702966
12,100,300,0.7,1,close,5,4,4,4,4,4,20,28,5,0.657897104331469,0.518277372358813,0.669736643703233,0.642154751511738,0.711517719748827,2.26825632816024,2.4854930855614,2.43757326070813,2.94005068485452,3.72301167397553,32.7063487435441
12,100,300,0.7,1,close,5,4,4,4,4,4,20,29,5,0.631647359670287,0.524375394614797,0.626834961153034,0.593156450825047,0.632320394877645,2.261795007879,2.44159053750078,2.13680508450782,2.68496374155777,3.16671143452326,29.2137555986329
