Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,prop.s2,prop.s3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.0854416186424354,1.6415998829044853,3.104013556663412,3.1839776265861097,2.667403355906945,21,15.060203406818426,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.0351881715424076,1.9295753163095546,3.370730707463628,3.2136264348055956,2.566268065345782,22,12.080490321450858,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.1472001252689443,1.9336362840670416,3.360427194918051,3.1683061534756205,2.588685045342874,23,12.01354265474031,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2651226291328124,1.8350050955293922,3.318021567291926,3.1328817181696773,2.5529531075192335,24,11.890072616261014,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2595337765555072,1.8617063728962466,3.3205963565569934,3.1416589972753663,2.552591781356629,25,11.884936774595092,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2382963717631084,1.8117424890945246,3.355174569343099,3.178216543691221,2.6805749646110084,26,11.54355940125399,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.1724243311100633,2.0470969153162417,3.1299272314762554,3.184350870984981,2.627612708717165,27,11.030611097509869,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2375535639769883,2.1587448909312976,3.246031460005965,3.0144297474252393,2.7823291389947578,28,9.087872928600449,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2559943905262343,2.1471857159929,3.2801557788189264,3.0097888120993903,2.6596998692598812,29,9.011730625866772,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2906826036392802,2.1471370315255696,3.279467459991748,3.053046716723002,2.6098437099749887,30,8.982196510288587,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.3528028457029735,2.111555295870657,3.2751145124390817,3.012268201837393,2.606944197653564,31,8.875260506964459,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.3548577980970378,2.1216336852064357,3.350794889782486,3.0682277731010825,2.632491354473514,32,8.818931254573348,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.468043143111629,2.1189728125355343,3.2928119516781607,3.0929935599609912,2.6070191140868015,33,8.634321247834103,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.4101963528752086,2.2050951984026286,3.274685204001069,2.931430454886094,2.597690131983061,34,8.498352247707647,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.3772163631413323,2.2372552671941084,3.2924468901766852,2.92830849220303,2.321231992790785,35,8.250415986914142,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.3158557539111926,2.288102887950175,3.3406784369981395,2.8610329505006264,2.2831560778858115,36,8.200540304186072,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.303516073200528,2.4648021397828352,3.4288159721871874,2.899266187787411,2.22750596524291,37,8.083075815575958,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.2833753787507023,2.5136846474767407,3.4260899669172433,2.8947239406892007,2.2435586613037306,38,8.049253621105594,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.344113791460318,2.438184770650715,3.3765820551755508,2.838969644563085,2.2059823429881016,39,7.969515600359234,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.3687929201506748,2.3863913500041884,3.364798910147215,2.9391733738704535,2.0943369913386967,40,7.894453715296158,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.4128930130498603,2.4006511760055216,3.367278090687531,2.9565409723013385,2.0993032205096784,41,7.846369682798229,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.442579558356951,2.417665409672821,3.3977179114060343,2.908701093804714,2.129176414605759,42,7.822466575065538,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.447220005425842,2.4937844597735164,3.4500515923621884,2.9049817484508154,2.1054011090675027,43,7.778683545581011,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
100,100,300,0.3,3,close,5,2,2,2,2,2,10,0.867,0.898,3.5311578002137747,2.5861565470327053,3.45856587536512,2.901641213747278,2.010783288959468,44,7.598093829171458,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method4
