number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,s1_selected,s2_selected,s3_selected,no_selected,cv_lambda,vselec_method,s1_prop,s2_prop,s3_prop
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.011232117664654304,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,7.358907721046153e-4,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.0010140657079729964,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.744772411301103e-16,Lasso,1,1,1
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.013185239238030909,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,44,0.006408691260650363,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,36,0.023108955094702267,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,42,0.014285689258041684,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,24,0.05151244429388444,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.04388193684298046,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,33,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,36,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.04388193684298046,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,40,0.015477983667424536,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.025037645931273767,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.040501639441524254,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,29,0.027127306760985608,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,12,0.08332805932591805,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.029391372260977485,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.040501639441524254,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,29,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,29,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,55,1.6045854266701236e-4,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.03738173188026989,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,32,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.04754435641726351,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.027127306760985605,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,20,0.06551665447917689,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,41,0.01816940702282152,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,35,0.023108955094702267,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,21,0.05581171178009765,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.04754435641726351,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,39,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,22,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,14,0.0769091625617282,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,35,0.02939137226097749,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,19,0.06046979937611888,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,27,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,46,0.010366889261210325,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,19,0.05151244429388444,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,22,0.04388193684298046,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.04388193684298046,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,18,0.04754435641726351,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,27,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.029391372260977485,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.03738173188026989,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,17,0.07098472391887985,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,35,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,31,0.023108955094702267,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,31,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,27,0.05581171178009765,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,41,0.01318523923803091,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,42,0.01816940702282152,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.04754435641726351,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,25,0.029391372260977485,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,32,0.025037645931273767,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,19,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,37,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,44,0.012169558683788826,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,34,0.023108955094702267,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.02939137226097748,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.03738173188026989,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,29,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,34,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,37,0.025037645931273764,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,39,0.015477983667424535,Lasso,1,1,1
