"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"11",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,15,"1",1.02585592360594,1.00063294650948,1.04954680742582,0.963160167035462,1.11395600375826,9.65858650421793,7.10454235821517,8.65885431531565,7.23688926424206,10.4249497435265,327.563460574415
"12",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,16,"1",1.03956927046652,0.993177331180849,0.989192107583814,0.947141821081414,1.08167322047496,10.0319072768893,7.14035843693418,8.14699482989796,7.17413340001858,10.2851108660598,319.977174604574
"13",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,17,"1",1.00213689109081,0.995482048987398,0.989977152919964,0.959961297003722,1.0488542063069,9.54585538957024,7.21664212068125,8.64594927527617,7.52684555584157,10.2688822317189,314.822314180737
"14",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,18,"1",1.04326978104371,0.97554353312545,1.00546865753349,0.939088859525423,1.06600377071102,10.3229394090899,7.28721193980546,9.25655472312232,7.60957775483525,10.5700851192259,307.667854633355
"15",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,19,"1",1.04776366058473,0.951980290808563,1.03632676360611,0.928947694158454,1.05523563326796,10.3225188414765,7.14416471463133,9.86403759038203,7.67864443208913,10.7651519878188,300.712356357418
"16",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,20,"1",1.04246667601431,0.970464701848828,1.07970961954111,0.934212771521102,1.02063073783252,10.5536192817149,7.63876584367886,10.1592522720943,7.60926491747695,10.1456707202716,295.04496397992
"17",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,21,"1",1.04052119202427,0.970868818212517,1.09314188988692,0.899743373533059,1.02010630027733,10.4039318141088,7.85487206264925,10.6209997537264,7.30246106852268,10.1610921828799,288.673337044611
"18",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,22,"1",1.02795799082383,0.965536473659114,1.09514126461821,0.93374240087292,1.05988061241639,10.4962613641519,7.93442364673069,10.7769304416677,8.39169284206701,10.4780490299927,282.354985663569
"19",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,23,"1",1.02113476309399,0.953855262318172,1.11561186501132,0.938538305711882,1.07819804503394,10.4778548582651,8.008675385795,11.2597682098696,8.77062107894947,10.82388125625,275.593455250038
"20",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,24,"1",1.01332438908547,0.944968938191633,1.12669429386627,0.950627129197478,1.12599861799143,10.4176183513376,7.93592162784423,11.4009385845046,8.91763700945875,11.6504821444932,270.565443646648
"21",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,25,"1",1.00023151396269,0.939412934682569,1.09439959763869,0.979250830584403,1.14049859624538,10.363242057438,7.85647152668088,11.0592477079711,9.02827160959469,12.1485536652527,265.814724283236
"22",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,26,"1",1.03329690725599,0.946850906164553,1.0912396225177,0.98084217734227,1.13008248941711,10.5774370994468,8.04681970594343,11.2907075605729,9.06116161965653,12.0739879483085,262.282036594614
"23",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,27,"1",0.889569221822965,0.740337893925318,0.933437090129126,0.846699245387336,0.968628311159848,8.05042949159073,5.39784915527559,8.71078371939186,6.54085376335458,8.57081072265062,192.607257435373
"24",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,28,"1",0.795210864004649,0.614244776428273,0.832667016686524,0.723682882215249,0.834737378567822,6.57164036602039,3.73982811904351,6.95620668516256,5.10531726542951,6.54114897924673,148.148039222836
"25",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,29,"1",0.77156275560532,0.606584674498004,0.781107715231016,0.697240088897945,0.733544379390596,5.73514551809211,3.18277945281938,5.39948744254561,4.43909235170663,5.33615931341707,114.761005234237
"26",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,30,"1",0.674215547092145,0.560159840864292,0.755385127281963,0.601158920675717,0.700090933314715,4.43074869532743,2.82957140683397,4.75300199457313,3.66166461628731,4.87941089460979,90.0578241096173
"27",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,31,"1",0.667547113062642,0.517443582943994,0.683763153030415,0.552311857410881,0.596128679002593,4.51249458451733,2.58036962839219,3.76978513889809,3.07258310349987,3.45508749991692,70.9282558519534
"28",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,32,"1",0.579803427082268,0.468805846273181,0.60195947037203,0.509652023846665,0.541716074696924,3.33499784199599,1.9887884081185,3.09716307900042,2.67596485083977,2.70912844520011,56.1527533873614
"29",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,33,"1",0.4927036263172,0.427393459663852,0.489435820961267,0.46356039848374,0.510394381054823,2.60114642695859,1.63522145223778,2.247551996837,2.18726055080715,2.47098089871159,43.5609778804318
"30",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,34,"1",0.443212954189045,0.375210123466778,0.414857087290299,0.418934774373547,0.440915159203357,2.17437705178933,1.30850286161042,1.80407837604441,1.90005070597571,1.883456074127,34.1773822219286
"31",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,35,"1",0.405409978230569,0.34982629377072,0.36289065959544,0.357549907535191,0.400773224593834,1.84075114199132,1.16048175943371,1.37718494962505,1.42601873283427,1.52103938768279,27.6468086417092
"32",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,36,"1",0.393587868004266,0.311224709970686,0.324670256975886,0.311198324315113,0.336507454851289,1.53583977489894,0.994248596262332,1.10687442190134,1.10579974997036,1.17496214152391,20.8541975848011
"33",22,100,100,0.7,2,"close",5,4,4,4,4,4,20,37,"1",0.333829410969992,0.290139376411798,0.289842375001845,0.269713150531498,0.320570345590403,1.07363384675538,0.801245436220867,0.830801563159574,0.855046778135965,1.07686921177475,16.1065313418497
